subject,split,trial_id,task,sequence_length,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_cv,movement_kurtosis,scanpath_length,gaze_dispersion,center_distance_mean,center_distance_std,center_distance_max,gaze_velocity_mean,gaze_velocity_std,gaze_velocity_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area
sub-084,train,9,memory,13,0.06680300680763179,0.820664019445283,1.4788967020086752,-0.023106137422498483,-0.07364929706749758,0.31156352328791165,-0.6948536905217146,0.8514190100716219,1.489431265751146,0.7986452144701279,1.074609399226217,1.2944515724243526,-0.22620785406243324,-0.43707465384802063,-0.5887278109049394,-0.47117839307988735,-0.27869380093428275,0.2844049670593481,1.731425442852792
sub-084,train,10,memory,13,0.03280599911611442,0.4923142785426996,1.292858035482057,-0.02086832157449517,-0.074838502598987,-0.0354202529660438,-0.638685831989348,0.28051595175158783,1.8594413714990707,0.2552103095001162,0.9147065040089034,0.8080908358550264,-0.23914604156392935,-0.4503008731181,-0.5981551625633048,-0.09758962877833402,-0.15355884767959688,-0.39163233731467434,2.330146085880324
sub-084,train,11,memory,9,-0.0254009083106941,0.2956952137085858,0.9818279652106785,-0.022248925922403875,-0.06663462924224649,-0.03900004703514499,-0.6504742255410444,0.19269901532780281,0.6278335585711807,-0.17361413996407604,0.8971796718003661,0.834952845392446,-0.24586482217033828,-0.45829270990936194,-0.6111007186873983,-0.27182938648347327,-0.27869380093428275,-0.2666117399304373,1.970282537013405
sub-084,train,12,memory,9,-0.06529578283252314,0.25358018055180503,1.0944783933750262,-0.021789614689158705,-0.06944694258339744,0.17817420176550394,-0.6395555495371603,0.14848699204715368,0.8652996503133858,-0.2730348316108243,0.5522339232971603,0.64211026270866,-0.2472316704156595,-0.44758763115516653,-0.5892401888571318,-0.21399015703551355,-0.15355884767959688,-0.18557987125546885,1.2786490138520177
sub-084,train,13,memory,5,0.009365672431839046,0.6604023228454154,1.9579646274284699,-0.023144413908826097,-0.08303840947699413,0.42796421008451263,-0.636329886643054,0.06768930795440005,0.5330987620216826,-0.23295747741614775,0.21860098230318595,0.9317429967069981,-0.22826147843771952,-0.43530238135328325,-0.5895760505677802,0.9867522463041164,5.102109189017211,-0.7643789332195291,2.2345443714605002
sub-084,train,14,memory,13,0.05007269271322647,0.8758907529146032,1.534305442798484,-0.022094181086615622,-0.07306465530464078,0.5137898491998547,-0.7088449417531514,0.6104657959865222,2.177674002625778,0.530633132913219,1.447331329620593,1.3387370980109348,-0.22164312116936674,-0.35834176959354475,-0.38833101879953136,-0.11069609785668735,-0.15355884767959688,-0.06518966636694433,1.9851435908037873
sub-084,train,15,listening,9,-0.15715117194211112,0.07607639838541441,0.34011897117775863,-0.02190753954365205,-0.0821816103234204,0.7427112745545843,-0.5908868746322874,-0.43821693615234486,-0.5556037004467915,-0.2822765722769815,-0.7397691115599981,1.2251484419505034,-0.2733607009041967,-0.4653882549527294,-0.6160332546682284,-0.09352163237686273,-0.15355884767959688,-0.9889529692615845,0.1954944151142608
sub-084,train,16,listening,5,3.3354701555850497,4.049573091219859,0.33393791589926125,-0.01792435830621072,0.16346706370387334,-1.394794028182297,-0.8451088543617203,-0.4986433688410125,1.3397113165452115,0.053254952156984246,1.3323888258489573,0.9525128139025254,-0.23123352495064178,-0.4595454977683426,-0.6169036094698479,0.5425469641437916,-0.27869380093428275,-1.4658833963199702,0.015888683780062814
sub-084,train,17,listening,13,0.059341227926637624,0.7549296254950804,0.9624747621258158,-0.02314441503991528,-0.10050459447006845,0.25082940324440434,-0.7215453488242152,0.0243322541538219,-0.08038765799917752,-0.4695680842000977,0.052089020215877774,1.2050943639232714,-0.25458690971737974,-0.4564039931675691,-0.6105704701011175,-0.3494776964074543,-0.15355884767959688,-0.6995534382795544,2.011589345978999
sub-084,train,18,listening,9,0.0031488849428972765,0.8027587318174774,1.6202695878949835,-0.023144388233279477,-0.09276092465062509,0.7483378842481819,-0.6860492491317084,-0.2599598063467372,2.3591713828504046,0.3440604384839346,1.964798721350369,0.7799826309365209,-0.25693857151392485,-0.4439428205326676,-0.5945802658851063,-0.5679662412570226,-0.5289637074436545,-0.9287578668173223,0.9734505403649683
